"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5346","Unsuccessful user login with incorrect username","","2025-12-22","passed","2025-12-22","","","",""
"","7761","Sort products by different options -- @1.2 ","","2025-12-22","passed","2025-12-22","","","",""
"","4148","Successful user login","","2025-12-22","broken","2025-12-22","","","",""
"","7761","Sort products by different options -- @1.3 ","","2025-12-22","passed","2025-12-22","","","",""
"","7647","Sort products by different options -- @1.4 ","","2025-12-22","passed","2025-12-22","","","",""
"","7741","Sort products by different options -- @1.1 ","","2025-12-22","passed","2025-12-22","","","",""
"","7052","Verify cart updates after adding items","","2025-12-22","passed","2025-12-22","","","",""
"","7751","Logout from inventory page","","2025-12-22","passed","2025-12-22","","","",""
"","10233","Verify items and navigation to checkout page from cart","","2025-12-22","passed","2025-12-22","","","",""
"","14586","Cancel checkout","","2025-12-22","passed","2025-12-22","","","",""
"","14613","Error on empty checkout fields","","2025-12-22","passed","2025-12-22","","","",""
"","15740","Successful completion of purchase order","","2025-12-22","passed","2025-12-22","","","",""
"","8911","Verify cart updates after removing items","","2025-12-22","passed","2025-12-22","","","",""
"","5303","Verify available products on inventory page","","2025-12-22","passed","2025-12-22","","","",""
